bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
dhanani:2016,dhanani,author,0,,
dhanda:2020,dhanda,author,0,,
dhanis:2001,dhanis,author,0,,
dhar_b:1999,dhar_b,author,0,,
dhar_b:2001,dhar_b,author,0,,
dharamsi_k-etal:2018,dharamsi_k,editor,0,,
dharamsi_k-etal:2018,doro,editor,1,,
dharamsi_k-etal:2018,leach_s,editor,2,,
dharamsi_k-etal:2018a,dharamsi_k,author,0,,
dharamsi_k-etal:2018a,doro,author,1,,
dharamsi_k-etal:2018a,leach_s,author,2,,
dharamsi_k:2018,dharamsi_k,author,0,,
dhardas:2003,dhardas,author,0,,
dhillon-halstead:2003,dhillon,author,0,,
dhillon-halstead:2003,halstead_m,author,1,,
dhillon:2009,dhillon,author,0,,
dhoine-martijn:2017,dhoine,editor,0,,
dhoine-martijn:2017,martijn_m,editor,1,,
dhoine-vanriel:2014,dhoine,editor,0,,
dhoine-vanriel:2014,vanriel_g,editor,1,,
dhoine:2006,dhoine,author,0,,
dhoine:2015,dhoine,author,0,,
dhoine:2017,dhoine,author,0,,
dhombres:1996,dhombres,author,0,,
dhombres:1997,dhombres,author,0,,
dhombres:2000,dhombres,author,0,,
dhondt_j:1972,dhondt_j,author,0,,
dhondt_j:1977,dhondt_j,author,0,,
dhondt_j:1978,dhondt_j,author,0,,
dhondt_j:1983,dhondt_j,author,0,,
dhondt_j:1985,dhondt_j,author,0,,
dhondt_j:1993,dhondt_j,author,0,,
dhondt_j:2000,dhondt_j,author,0,,
dhondt_u:1992,dhondt_u,author,0,,
dhongde-pattanaik:2010,dhongde,author,0,,
dhongde-pattanaik:2010,pattanaik,author,1,,
dhulst_y:2004,dhulst_y,author,0,,
